"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
23060,3/31/2026 0:00:00,13189,0,0,0,0,11180314,0,0,14115617,0,11180314,0,0,0,0,0,1,0,0,0,0,32025,0,0,0,0,0,0,0,0,76635,0,70763,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,37129,2255,1950,10586,3141,1446,1125,0,0,0,0,180,799,1725762,0,0,3386107,0,0,0,0,0,256623,0,0,0,2805,46,0,0,1812,0,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,147398,0,3718,13848,0,78657,0,45849,0,0,0,0,0,0,0,0,150,2131900,0,0,0,0,0,0,0,0,0,0,2930070,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10526,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23070,3/31/2026 0:00:00,13199,0,0,0,0,49116893,6155639,41270,64018906,0,49116893,6155639,41270,0,0,0,6,0,0,0,0,92025,0,0,0,0,0,0,0,0,476551,0,305381,0,0,0,0,0,0,0,0,0,0,0,149120,0,0,0,0,0,0,0,0,211367,0,11287,126884,3357,1838,45262,0,0,0,0,2102,4759,11741837,0,0,3238575,0,0,0,0,0,1868716,0,0,0,0,605,2806,138,5108,0,77,8734,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,781932,0,158595,262818,0,265353,0,73558,0,0,0,0,0,0,0,0,619125,3698022,0,0,0,0,0,0,0,0,0,0,8503419,1328,0,0,0,49714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,40049,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23109,3/31/2026 0:00:00,13238,0,0,0,0,5403724,0,0,6590241,0,5403724,0,0,0,0,0,2,0,0,0,0,92025,0,0,0,0,0,0,0,0,53150,0,15607,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,0,0,0,0,0,0,35080,0,0,7924,0,1068,943,0,0,0,0,0,0,1198570,0,0,2983148,0,0,0,0,0,39108,0,0,0,0,46,0,0,1580,0,0,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,68757,0,2485,13816,0,12411,0,0,0,0,0,0,0,0,0,0,0,852366,0,0,0,0,0,0,0,0,0,0,1182920,1795,0,0,0,8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,18820,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23125,3/31/2026 0:00:00,13254,0,0,0,0,2495804,0,0,3556111,0,2495804,0,0,0,0,0,0,0,0,0,0,122025,0,0,0,0,0,0,0,0,13633,0,26117,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,23153,0,0,8346,0,0,1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385391,0,0,0,0,0,0,0,1125,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,39750,0,442,1749,0,5185,0,0,0,0,0,0,0,0,0,0,0,814130,0,0,0,0,0,0,0,0,0,0,1052938,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23144,3/31/2026 0:00:00,13273,0,0,0,0,14708984,240000,0,21709656,0,14712504,240000,0,0,0,0,22,0,0,0,0,62025,0,0,0,0,0,0,0,0,263643,0,63423,0,0,0,0,0,0,0,0,0,0,0,57622,0,0,0,0,0,0,0,0,111811,0,14864,93794,2217,10770,15771,0,3208,0,0,957,0,2304576,0,0,2259284,0,0,0,0,914516,4006270,0,0,0,0,6,1443,0,3166,421,0,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,327066,0,44810,21211,0,103597,0,17134,0,0,0,0,0,0,0,0,52400,621521,0,0,0,0,0,0,0,0,0,0,6751135,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856000,0,0,790919,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23156,3/31/2026 0:00:00,13285,0,0,0,0,10550597,181009,0,12464875,0,10550597,181009,0,0,0,0,9,0,0,0,0,92025,0,0,0,0,0,0,0,0,111550,0,42645,0,0,0,0,0,0,0,0,0,0,0,28043,0,0,0,0,0,0,0,0,57749,410,6153,38349,925,8029,10413,0,0,0,0,0,1951,3721297,0,0,2327201,0,0,0,0,182553,284502,0,0,0,0,34,671,16,1766,0,0,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,154195,0,32748,11026,0,49767,0,20400,0,0,0,0,0,0,0,0,250526,727229,0,0,0,0,0,0,0,0,0,0,1709872,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020000,0,0,45101,1703.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23162,3/31/2026 0:00:00,13291,0,0,0,0,34031148,1898473,78518,51017502,0,37777148,1898473,78518,0,0,0,33,0,0,0,0,122025,0,0,0,0,0,0,0,0,649749,0,227308,0,0,0,0,0,0,0,0,0,0,0,216009,0,0,0,0,0,0,0,0,348070,18274,41707,182106,23017,19626,94054,0,0,0,0,0,0,12378518,0,0,4634685,0,0,0,0,962964,2082062,0,0,0,0,323,2815,75,6395,1,88,9701,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,877057,0,227617,157789,0,195031,0,1355371,0,0,0,0,0,0,0,0,1148136,11082181,0,0,0,0,0,0,0,0,0,0,10288002,2016,0,236426,0,67949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,600000,3800000,0,0,1834752,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23170,3/31/2026 0:00:00,13299,0,0,0,0,7027817,0,0,8117651,0,7027817,0,0,0,0,0,8,0,0,0,0,122025,0,0,0,0,0,0,0,0,73509,0,23738,0,0,0,0,0,0,0,0,0,0,0,8651,0,0,0,0,0,0,0,0,32172,1292,1800,34519,320,4774,4158,0,0,0,0,0,3770,2714721,0,0,1421383,0,0,0,0,34372,454731,0,0,0,0,33,709,3,2065,0,67,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97247,0,9189,19631,0,-11520,0,1488,8134,0,0,0,0,0,0,0,17400,1699523,0,0,0,0,0,0,0,0,0,0,1042933,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23174,3/31/2026 0:00:00,13303,0,0,0,0,5923326,0,0,6728181,0,5935108,0,0,0,0,0,1,0,0,0,0,32025,0,0,0,0,0,0,0,0,53968,0,22439,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,43234,581,1500,21845,572,519,0,0,974,0,0,0,150,1174143,0,0,1770585,0,0,0,0,0,692762,0,0,0,0,7,190,0,1603,0,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,83556,0,749,1226,0,11204,30052,0,0,0,0,0,0,0,0,0,66921,1068844,0,0,0,0,0,0,0,0,0,0,782973,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23177,3/31/2026 0:00:00,13306,0,0,0,0,62596,0,0,77575,0,62596,0,0,0,0,0,0,0,0,0,0,122024,0,0,0,0,0,0,0,0,807,0,89,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,7,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,896,0,160,0,0,624,0,0,0,0,0,0,0,0,0,0,0,20639,0,0,0,0,0,0,0,0,0,0,14979,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
