"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
68008,3/31/2026 0:00:00,23062,0,0,0,0,0,0,2799360,0,0,0,0,0,0,0,3112105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56731,0,0,401923,6370119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,0,0,0,0,0,0,10
68010,3/31/2026 0:00:00,22903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277612,0,0,0,0,277612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
68011,3/31/2026 0:00:00,22836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,2799602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,0,0,0,64
68016,3/31/2026 0:00:00,22483,0,0,0,0,0,0,250122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,608535,0,0,0,0,355913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,345,0,0,0,0,0,0,69
68021,3/31/2026 0:00:00,22675,0,0,0,0,0,0,4139395,0,0,0,0,0,0,0,55067949,0,0,0,0,0,0,0,0,0,2678586,0,0,0,0,3488134,0,0,1628136,64642445,0,0,0,0,318831,78,26,0,1,0,0,27,0,35,15,68,26,94,9,0,5,0,10,104,1474,448,103,0,0,11,0,11,1110
68038,3/31/2026 0:00:00,3355,0,0,0,0,0,0,59072797,0,0,0,0,0,0,0,15558089,0,0,0,0,0,0,0,0,0,8318866,0,0,0,0,571367,0,0,165078,95033344,0,0,0,0,19666013,487,96,0,58,0,0,81,10,41,6,160,51,211,269,45,19,0,372,583,1824,1093,5,0,0,34,0,34,1539
68042,3/31/2026 0:00:00,22583,0,0,0,0,0,0,2982943,0,0,0,0,0,0,0,5745522,0,0,0,0,0,0,0,0,0,57131,0,0,0,0,0,0,0,501264,9819229,0,0,0,0,589500,19,0,0,2,0,0,1,0,0,0,6,0,6,11,0,5,0,13,19,102,132,0,0,0,0,0,0,105
68044,3/31/2026 0:00:00,25770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68046,3/31/2026 0:00:00,24197,0,0,0,0,0,0,14698418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068573,0,0,0,0,12499,0,0,928436,16203629,0,0,0,0,564276,75,1,0,0,0,0,20,0,2,0,71,1,76,4,0,49,1,4,76,204,209,0,0,0,0,0,0,13
68052,3/31/2026 0:00:00,21910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6683,0,0,0,2609163,0,0,0,0,4035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,12
68053,3/31/2026 0:00:00,23081,0,0,0,0,0,0,22413047,0,0,0,0,0,0,0,81099128,0,0,0,0,0,0,0,0,0,145648,0,0,0,0,1764533,0,0,105189,105381897,0,0,0,0,0,107,0,1,5,0,0,38,0,24,0,92,0,92,9,0,21,0,12,107,1328,1153,3,8,0,0,0,8,2092
68057,3/31/2026 0:00:00,24237,0,0,0,0,0,0,24875596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856001,0,0,0,0,290689,0,0,1809000,28648343,0,0,0,0,1673058,73,0,0,5,0,0,15,0,15,0,33,0,33,35,0,3,0,40,73,229,473,0,0,0,0,0,0,26
68061,3/31/2026 0:00:00,22309,0,0,0,0,0,0,33459260,0,0,0,0,0,0,0,31194485,0,0,0,0,0,0,0,0,0,893917,0,0,0,0,177715,0,0,41901,83616700,0,0,0,0,18743339,227,37,3,1,0,0,18,0,12,23,222,37,259,1,0,192,13,5,264,1319,880,0,0,0,0,0,0,4137
68062,3/31/2026 0:00:00,11413,0,0,0,0,0,0,31734139,0,0,0,0,0,0,0,37337501,0,0,0,0,0,0,0,0,0,18881973,0,0,0,0,4499961,0,0,39250,73610851,0,0,0,0,0,326,7,1,2,0,0,263,4,30,1,323,7,330,0,0,23,2,3,333,98,963,27,0,0,0,0,0,94
68069,3/31/2026 0:00:00,23923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
68071,3/31/2026 0:00:00,24013,0,0,0,0,0,0,2368414,0,0,0,0,0,0,0,1487227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17418,0,0,0,4266754,0,0,0,0,393695,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,74,123,0,0,0,0,0,0,26
68073,3/31/2026 0:00:00,23994,0,0,0,0,0,0,676988,0,0,0,0,0,0,0,541559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472047,0,0,0,0,1253500,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,94,0,0,0,0,0,273
68077,3/31/2026 0:00:00,23958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,26
68085,3/31/2026 0:00:00,23942,0,0,0,0,0,0,131952005,0,0,0,0,0,0,0,153339734,0,0,0,0,0,0,0,0,0,3284282,0,0,0,0,0,0,0,253387,290079606,0,0,0,0,4534480,179,1,0,1,0,0,23,0,128,1,178,1,179,0,0,25,0,1,180,6371,3870,71,0,0,0,0,0,12766
68095,3/31/2026 0:00:00,24028,0,0,0,0,0,0,242977992,0,0,0,0,0,0,0,292565976,0,0,0,0,0,0,0,0,0,66587071,0,0,0,0,7564854,0,0,98965673,729720997,0,0,0,0,87646502,1009,0,6,94,0,0,212,0,351,0,850,0,850,59,0,263,0,159,1009,27967,7254,0,3,0,0,0,3,15258
68097,3/31/2026 0:00:00,23914,0,0,0,0,0,0,3938,0,0,0,0,0,0,0,535354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,85
