"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
24986,3/31/2026 0:00:00,5526,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121652425,0,204621097,0,0,0,0,0,0,0,0,70000000,0,0,26630703,25409594,0,0,3246893,2875111,0,0,59486203,55631400,0,0,62733096,58506511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464353,2379283,0,0,0,0,0,0,0,0,0,91828152,86295388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249000,249000,0,0,0,498000,0,0,86295388,0,0,0,0,0,2926338,2926338,32706919,25888051,9771677,13918618,7434461,89719726,0,0,0,0,0,12108494,0,0,0,0,0,0,0,0,5214754,0,0,0,0,0,34658774,10794927,0,0,107230544,12967499,0,0,12967499,0,0,0,8312301,111885742,0,111885742,0,0,0,0,0,0,0,0,0,0,0,0,0
24987,3/31/2026 0:00:00,4481,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32871137,0,45718140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6465295,6450196,0,0,0,0,0,0,6465295,6450196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6465295,6450196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15678000,10494000,0,0,0,26172000,0,0,6450194,0,0,1408038,0,0,0,1408038,15682119,18348113,0,0,0,34030232,0,0,0,0,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,54445738,1689774,0,0,1689774,0,0,0,2666915,53468597,0,53468597,0,0,0,0,0,0,0,0,0,0,0,0,0
60002,3/31/2026 0:00:00,14490,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138146100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206904055,203725661,13967592,13512421,0,0,0,0,206904055,203725661,13967592,13512421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206904055,13967592,13512421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13512421,206904055,0,2625537,0,0,0,2625537,52764135,61380594,40291500,68605784,0,223042013,0,0,0,0,0,0,0,0,94046,0,0,0,0,0,0,0,0,0,0,0,115243,0,0,0,69142181,4752907,0,0,4752907,0,0,0,3823441,70071647,0,70071647,0,0,0,0,0,0,0,0,0,0,0,0,0
60013,3/31/2026 0:00:00,14499,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477026,0,4698684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425010,6216000,249000,0,0,12890010,0,0,0,0,500000,34100,0,0,1402444,1936544,6925010,6250100,249000,0,1402444,14826554,0,0,-57409,-57409,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,93152,0,82988,0,0,0,10586647,189746,0,0,189746,0,0,0,450262,10326131,0,10326131,0,0,0,0,0,0,0,0,0,0,0,0,0
60024,3/31/2026 0:00:00,14508,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53565679,0,59904003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3419306,3328131,0,0,58884265,56319227,0,0,62303571,59647358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62303571,59647358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59647358,0,0,1402701,0,0,0,1402701,18835176,18535537,10494574,12687271,497501,61050059,0,0,0,0,0,1123427,0,0,7702246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28295477,1174274,0,0,1174274,0,0,0,1704269,27765482,0,27765482,0,0,0,0,0,0,0,0,0,0,0,0,0
60037,3/31/2026 0:00:00,14519,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19275000,19275000,0,0,19275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748000,1000000,0,0,0,1748000,0,0,0,19275000,0,0,0,0,272040,272040,1548000,2000000,17475000,0,272040,21295040,0,0,0,0,0,0,0,0,10357608,1081877,0,0,0,0,0,0,0,0,0,0,252607,0,0,0,7854829,420304,0,0,420304,0,0,0,633081,7642052,0,7642052,0,0,0,0,0,0,0,0,0,0,0,0,0
60039,3/31/2026 0:00:00,14521,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000,337102,0,0,0,0,0,0,420000,337102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,1869000,440000,0,0,2709000,0,0,0,420000,0,0,0,0,31730,31730,400000,1869000,440000,270000,181730,3160730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758434,45739,0,0,45739,0,0,0,53151,1751022,0,1751022,0,0,0,0,0,0,0,0,0,0,0,0,0
60041,3/31/2026 0:00:00,14523,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51208798,0,51209634,0,0,0,1747849,0,0,0,0,0,0,0,249887,246479,0,0,37284820,34710563,0,0,24567034,20037752,0,0,61851854,54748315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14852710,14025157,0,0,0,0,0,76954451,69019951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66476,0,0,66476,66476,995000,0,0,0,0,995000,66476,0,69019950,0,2250000,0,0,80000,0,2330000,17579596,15702783,24852851,4142731,10133465,72411426,0,0,0,0,0,0,0,0,13370005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16852467,1875967,0,0,1875967,0,0,0,1927464,16800970,0,16800970,0,0,0,0,0,0,0,0,0,0,0,0,0
60042,3/31/2026 0:00:00,14524,Subm,0,0,0,0,0,0,0,0,0,0,0,0,4037431,0,0,0,0,1139701664,0,1944854619,0,0,0,377341862,0,25000000,0,0,0,0,0,59854106,57462134,0,0,1275189,1267810,0,0,502068147,471246144,0,0,503343336,472513954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45206965,45159013,0,0,45206965,45159013,0,0,0,0,0,0,0,0,0,0,1362467,1316714,0,0,1362467,1316714,0,0,158430963,139203343,0,0,2228324,2216276,0,0,5237048,4787776,0,775663209,722659210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722659209,0,0,3052500,0,0,0,3052500,253558123,101556897,58102787,278701163,33792739,725711709,0,-650693,0,-650693,0,0,0,0,3244476,0,258,0,0,0,0,0,0,0,0,0,0,0,807248,0,496432815,64565418,0,0,64565418,0,0,0,38743705,522254528,0,522254528,0,0,0,0,0,0,0,0,0,0,0,0,0
60048,3/31/2026 0:00:00,14529,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,1754655,0,0,18150000,17693751,6790238,6312140,0,0,0,0,18150000,17693751,6790238,6312140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19900000,6790238,6312140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3733000,16611000,9415000,1237000,0,30996000,0,0,6312139,19900000,0,263100,0,0,0,263100,13353512,23494790,17265504,3357433,0,57471239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12482873,136446,0,0,136446,0,0,0,593358,12025961,0,12025961,0,0,0,0,0,0,0,0,0,0,0,0,0
