"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
24920,3/31/2026 0:00:00,2863,0,0,1143919,0,1,0,253235,0,0,0,0,0,0,0,0,0,0,0,0,38270801,26218764,27543821,17951144,0,109984530,2800000,500000,0,0,0,3300000,0,-6815431,0,49356,0,0,0,49356,0,0,0,0,0,146379239,0,0,0,0,0,0,0,0,07/01/2023,2468,164477248,0,0,0,0,0,0,0,0,0,0,0,87918,0,0,0,0,0,0,0,0,0,0
24921,3/31/2026 0:00:00,5682,0,246518981,26519751,4964110,1,0,78109253,13925419,0,0,0,0,13925419,0,0,0,0,0,0,179263801,42438591,81927380,24084586,944083,328658441,0,0,0,0,0,0,0,-9976053,0,17154189,0,0,3906,17158095,0,0,0,0,392150,5874708221,0,0,0,440,119154136,31963858,0,0,10/01/2023,10152222,6634628079,0,0,0,0,0,0,0,0,0,0,0,17225847,0,0,-55854,0,0,0,0,0,0,0
24923,3/31/2026 0:00:00,20701,0,118336228,10555410,2431542,1,0,17025128,148760,0,0,0,0,148760,0,0,0,0,0,0,25001484,55526458,47064895,60067976,12222746,199883559,0,0,0,0,0,0,0,-19366205,0,647003,0,0,18987,665990,0,0,0,0,150436,2425531172,7,139793,105837,0,0,0,0,0,01/01/2023,20329084,2507988682,0,0,0,0,0,0,0,0,0,0,0,4624516,0,-5715,0,0,0,0,0,0,0,0
24924,3/31/2026 0:00:00,24268,0,0,70415,0,1,0,135409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,24380103,0,0,0,0,0,0,0,0,01/01/2023,0,29177138,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
24925,3/31/2026 0:00:00,26463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689423,0,0,0,0,0,0,0,0,,0,3146766,0,0,0,0,0,0,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0
24927,3/31/2026 0:00:00,19821,0,0,3670719,0,1,0,3395217,0,0,0,0,0,0,0,0,0,0,0,0,979294,7743570,14108228,9719595,0,32550686,0,0,0,0,0,0,0,-3225333,0,909725,0,0,0,909725,0,0,0,0,0,463373903,0,0,0,0,0,0,0,0,01/01/2023,773455,503973515,0,0,0,0,0,0,0,0,0,0,0,894800,0,0,0,272,3741257,0,0,0,0,0
24928,3/31/2026 0:00:00,26464,0,0,269958,0,1,0,306512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42914,0,0,0,42914,0,0,0,0,0,36494037,0,0,0,0,0,0,0,0,11/01/2023,0,42680590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24929,3/31/2026 0:00:00,4529,0,0,1118965,0,1,0,1180298,0,0,0,0,66383,66383,0,0,0,0,0,0,216940,7246497,4922882,6574300,140922,19101541,9728360,6004699,4206356,249000,0,20188415,0,-1964950,0,201170,0,0,0,201170,0,0,0,0,0,221775791,0,0,0,68,346711,336309,0,0,01/01/2023,283253,249679608,0,0,0,0,0,0,0,0,0,0,0,292767,0,-129,0,0,0,0,0,0,0,0
24931,3/31/2026 0:00:00,4927,0,83844701,12988954,0,1,0,11849257,0,0,0,0,0,0,0,0,0,0,0,0,1227534,30633118,39119116,72884562,9197004,153061333,0,0,0,0,0,0,0,-24404435,0,4550297,0,0,0,4550297,0,0,0,0,0,1346667282,0,0,0,0,0,0,0,0,01/01/2023,238463,1446275964,0,0,0,0,0,0,0,0,0,0,0,2554386,0,0,0,0,0,0,0,0,0,0
24934,3/31/2026 0:00:00,16827,0,60534405,8420708,0,1,0,8709284,0,0,0,0,0,0,0,0,0,0,0,0,9925057,7708621,31437304,38012175,0,87083157,0,0,0,0,0,0,0,-11941605,0,1170792,0,0,0,1170792,0,0,0,0,0,760424292,6,8952,8952,0,0,0,6,8952,01/01/2023,955563,796995940,0,0,0,0,0,0,0,0,0,0,0,1409205,0,0,0,0,0,0,0,0,0,0
24935,3/31/2026 0:00:00,26466,0,0,19683,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035889,0,0,0,0,0,0,0,0,,0,3166684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24936,3/31/2026 0:00:00,17491,0,28936116,2592751,0,1,0,913530,0,0,7000000,0,0,7000000,0,0,0,0,0,0,2838891,17461908,14993211,17568609,133712,52996330,0,0,0,0,0,0,0,-2568530,0,244284,0,0,0,244284,0,0,0,0,0,340000312,0,0,0,0,0,0,0,0,09/01/2023,48730,372366074,0,0,0,0,0,0,0,0,0,0,0,372558,0,0,0,0,0,0,0,0,0,0
24937,3/31/2026 0:00:00,26467,0,0,73763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817480,0,0,0,0,0,0,0,0,,0,2625969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24940,3/31/2026 0:00:00,26468,0,35762,52434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779076,0,0,0,0,0,0,0,0,,0,1454253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24941,3/31/2026 0:00:00,14537,0,195966298,70008302,49340836,1,0,65612118,1090016,0,11879823,15151931,12921329,41043099,4870069,9161830,29337711,13572752,11494489,68436851,0,2592738,2399948,580920,0,5573606,169534165,97499017,2996258,59807692,0,329837132,0,-118806,0,10662794,0,0,10985,10673779,0,0,0,0,10985,4049339063,0,0,0,0,0,0,0,0,01/01/2023,13149941,4658363991,0,0,0,0,0,0,0,0,0,0,0,8723647,0,-762658,0,0,0,0,0,0,0,0
24942,3/31/2026 0:00:00,26469,0,0,8107,0,1,0,6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,0,0,3871,0,0,0,0,0,1090051,0,0,0,0,0,0,0,0,12/01/2024,0,1303146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24943,3/31/2026 0:00:00,26470,0,0,352480,0,1,0,89852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323636,0,0,0,0,0,0,0,0,11/01/2023,0,2536582,0,0,0,0,0,0,0,0,0,0,0,20725,0,0,0,0,0,0,0,0,0,0
24944,3/31/2026 0:00:00,15736,0,0,282349,0,1,0,112211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,8000,0,0,0,0,0,11552146,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,14094153,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0
24945,3/31/2026 0:00:00,19510,0,0,3613554,12443977,1,0,4245110,0,0,0,0,0,0,0,0,0,0,0,0,108492,4158488,10403567,18583174,0,33253721,2000000,1000000,0,0,0,3000000,0,-5382129,0,526608,0,0,14103,540711,0,0,0,0,384989,619504343,0,0,0,0,0,0,0,0,01/01/2023,1660138,686113628,0,0,0,0,0,0,0,0,0,0,0,1684796,0,0,0,0,0,0,0,0,0,0
24946,3/31/2026 0:00:00,26471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5253810,0,0,0,0,0,0,0,0,,0,6257015,0,0,0,0,0,0,0,0,0,0,0,3502,0,0,0,0,0,0,0,0,0,0
24947,3/31/2026 0:00:00,26472,0,291656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199990,498746,0,0,0,698736,0,0,0,0,0,0,0,-2352,0,0,0,0,0,0,0,0,0,0,0,3700201,0,0,0,0,0,0,0,0,,0,6926774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24948,3/31/2026 0:00:00,17818,0,61118801,6134682,0,1,0,4991710,0,0,0,0,0,0,0,0,0,0,0,0,25091950,19753869,15213654,32793147,9034448,101887067,0,0,0,0,0,0,0,-7336828,0,340917,0,0,0,340917,0,0,0,0,895,457640328,0,0,0,0,0,0,0,0,01/01/2023,232335,517301408,0,0,0,0,0,631540,0,0,0,0,0,1148801,0,0,0,0,0,0,0,0,0,0
24950,3/31/2026 0:00:00,26473,0,152761,30442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682853,0,0,0,0,0,0,0,0,,0,715542,0,0,0,0,0,0,0,0,0,0,0,15016,0,0,0,0,0,0,0,0,0,0
24951,3/31/2026 0:00:00,15242,0,0,630356,2936305,1,0,680476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46442655,0,0,0,0,0,0,0,0,01/01/2023,286913,53897720,0,0,0,0,0,0,0,0,0,0,0,77407,0,0,0,0,0,0,0,0,0,0
24952,3/31/2026 0:00:00,15024,0,0,2855908,234213,1,0,416134,0,0,718579,0,0,718579,0,0,0,0,0,0,6748056,8722332,4974392,4726243,0,25171023,1984000,2471000,498000,0,0,4953000,0,-111363,0,104208,0,0,0,104208,0,0,0,0,0,113458087,1,4999,0,0,0,0,1,4999,01/01/2023,170257,143527985,0,0,0,0,0,0,0,0,0,0,0,273603,0,-9705,0,0,0,725,735316,0,0,0
24953,3/31/2026 0:00:00,19260,0,30613654,3042243,0,1,0,6704000,3915204,0,0,0,0,3915204,0,0,0,0,0,0,3409713,23568788,55871264,114694402,2836348,200380515,0,0,0,0,0,0,0,-11205126,0,872495,0,0,32000,904495,0,0,0,0,32000,838739202,0,0,0,0,0,0,0,0,07/01/2023,-80413,945462454,0,0,0,0,0,0,0,0,0,0,0,740279,0,-134919,0,0,0,0,0,0,0,0
24954,3/31/2026 0:00:00,17870,0,36075839,12988516,1126041,1,0,6207413,447218,0,0,0,0,447218,0,0,0,0,0,0,0,0,0,0,0,0,19477065,1276276,0,0,0,20753341,0,0,0,588254,0,0,0,588254,0,0,0,0,4889,327412126,0,0,0,0,0,0,0,0,03/01/2023,110102,398808003,0,0,0,0,0,0,0,0,0,0,0,1845118,0,-74638,0,21,10799,0,0,0,0,0
24955,3/31/2026 0:00:00,18511,0,11204845,5417555,2674926,1,0,5659256,67213,0,0,0,342097,409310,0,0,0,0,0,0,16631550,35348489,44467343,56938785,1291013,154677180,8028000,4959000,1477000,0,0,14464000,0,-1195199,0,416867,0,0,0,416867,0,0,0,0,0,1285970440,0,0,0,0,0,0,0,0,01/01/2023,-314729,1434952439,0,0,0,0,0,0,0,0,0,0,0,1971843,0,-6368,9297,0,0,0,0,0,0,0
24956,3/31/2026 0:00:00,24309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91428,90635,313920,0,495983,598000,544969,1188739,50000,0,2381709,0,-43869,0,0,0,0,0,0,0,0,0,0,0,4129851,0,0,0,0,0,0,0,0,,0,4865085,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0
24957,3/31/2026 0:00:00,6260,0,144189615,7838507,4172912,1,0,16476233,0,0,0,0,0,0,0,0,0,0,0,0,7882210,14916609,9318022,0,0,32116841,4995973,39248580,67015884,32792075,0,144052512,0,-1849746,0,4469541,0,0,-2426,4467115,0,0,0,0,17258,1626483534,0,0,0,43,6682515,6014263,0,0,01/01/2023,2679443,1765232996,0,0,0,0,0,0,0,0,0,0,0,2841254,0,0,0,0,0,0,0,0,0,0
24958,3/31/2026 0:00:00,26474,0,1827749,66514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973983,0,0,0,0,0,0,0,0,,0,7122505,0,0,0,0,0,0,0,0,0,0,0,5033,0,0,0,0,0,0,0,0,0,0
24959,3/31/2026 0:00:00,24239,0,61804568,1845362,0,1,0,7377995,0,0,0,0,0,0,0,0,0,0,0,0,30548660,26913405,11904721,10494079,0,79860865,0,0,0,0,0,0,0,-2020473,0,675000,0,0,0,675000,0,0,0,0,140000,1143286624,0,0,0,0,0,0,0,0,03/01/2023,1300000,1249175489,0,0,0,0,0,0,0,0,0,0,0,1143179,0,0,0,0,0,0,0,0,0,0
24960,3/31/2026 0:00:00,26476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927863,0,0,0,0,0,0,0,0,,0,2408964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24961,3/31/2026 0:00:00,26477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24962,3/31/2026 0:00:00,21058,0,318927608,62525994,0,1,0,82673723,86354,0,0,1503826,2327157,3917337,0,0,0,0,0,0,493530564,22373494,191657251,542788486,79117,1250428912,3368049,5848475,0,0,0,9216524,0,-92073955,0,12200001,0,0,0,12200001,0,0,0,0,0,6683484653,0,0,0,0,0,0,0,0,01/01/2023,13332297,7358575841,0,0,296661726,2204002,851407,143829597,0,0,0,0,0,12203203,0,-137311,0,0,0,0,0,0,0,0
24963,3/31/2026 0:00:00,5770,0,340360404,8610220,1310140,1,0,46354065,1822747,0,0,0,0,1822747,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,252279,0,0,500279,0,0,0,2406000,0,0,100000,2506000,0,0,0,0,1400000,583597246,0,0,0,0,0,0,0,0,04/01/2023,19976512,834528358,0,0,0,0,0,0,0,0,0,0,0,1229141,0,0,0,0,0,0,0,0,0,0
24964,3/31/2026 0:00:00,742,0,10135253,12731969,3825631,1,0,11371753,0,0,0,0,0,0,0,0,0,0,0,0,48399547,1375053,0,21782017,0,71556617,0,0,0,0,0,0,0,-2704590,0,3213371,0,0,0,3213371,0,0,0,0,0,1857128864,3,123730,72482,0,0,0,0,0,07/01/2023,-1469094,2077946470,0,0,0,0,0,0,0,0,0,0,0,8924034,0,0,858000,0,0,0,0,0,0,0
24965,3/31/2026 0:00:00,17880,0,0,992828,0,1,0,549629,0,0,0,0,0,0,0,0,0,0,0,0,7382282,16407598,17230408,8470793,425536,49916617,0,0,0,0,0,0,0,-2476744,0,117564,0,0,115,117679,0,0,0,0,118,134535842,0,0,0,0,0,0,0,0,09/01/2023,276590,143779207,0,0,0,0,0,0,0,0,0,0,0,172592,0,0,0,0,0,0,0,0,0,0
24967,3/31/2026 0:00:00,2499,0,3714563,3512532,46231,1,0,2282300,0,0,0,0,0,0,0,0,0,0,0,0,955590,0,0,0,0,955590,0,0,0,0,0,0,0,9253,0,323048,0,0,0,323048,0,0,0,0,0,287964640,0,0,0,0,0,0,0,0,10/01/2023,1592132,313304991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,0,0
24969,3/31/2026 0:00:00,17056,0,49965820,28187589,82891787,1,0,26385515,50948,854653,0,2533105,2315240,5753946,0,0,0,0,0,0,81614294,37474451,202052397,241622769,0,562763911,0,0,0,0,0,0,0,-50824226,0,7429376,0,0,0,7429376,0,0,0,0,0,2428249695,0,0,0,0,0,0,0,0,01/01/2023,4432477,2665893053,0,0,0,0,0,0,0,0,0,0,0,8753474,0,-32050,0,0,0,0,0,0,0,0
24970,3/31/2026 0:00:00,15777,0,1512872,14282209,4597083,1,0,28068378,182473,0,0,0,37177737,37360209,0,0,0,0,0,0,12748607,55937254,90537745,105141548,834116,265199271,0,0,0,0,0,0,0,-24023617,0,3451371,0,0,4506,3455877,0,0,0,0,240128,2555667575,0,0,0,0,0,0,0,0,01/01/2023,4687314,2833006457,0,0,0,0,0,0,0,0,0,0,0,5559999,0,-2472105,-3077,306,18032000,0,0,0,0,0
24971,3/31/2026 0:00:00,21196,0,0,487911,0,1,0,457343,0,0,0,0,0,0,0,0,0,0,0,0,7743046,2459240,719370,0,6893369,17815025,0,0,0,0,0,0,0,-1373252,0,36902,-371,0,0,36531,0,0,0,0,0,74695924,0,0,0,0,0,0,0,0,01/01/2023,0,85273292,0,0,0,0,0,0,0,0,0,0,0,39211,0,0,0,0,0,0,0,0,0,-1867
